NAZEV;KOD_PRACOVISTE;KOD_LEKARNY;ICZ;ICO;MESTO;ULICE;PSC;LEKARNIK_PRIJMENI;LEKARNIK_JMENO;LEKARNIK_TITUL;WWW;EMAIL;TELEFON;FAX;ERP;TYP_LEKARNY;ZASILKOVY_PRODEJ;POHOTOVOST
LÈk·rna U svatÈho Jana;00213792013;;91995127;70944229;Ostrava;Blanick· 1068/187;72400;Val·öek;Radim;PharmDr.;;lekarnausvatehojana@seznam.cz;596 769 022;;0;OOVL;;
LÈk·rna U svatÈho Ji¯Ì s.r.o.;86320000000;86995010;86320000;25377248;Bruöperk;K n·mÏstÌ 23;73944;MÏk˝öov·;Jana;Mgr.;;lekarnasvjiri@quick.cz;558 666 223;;1;Z/OOVL;;
LÈk·rna U SVAT…HO PETRA;00213784544;78995660;78590000;29274141;ProstÏjov;PetrskÈ n·m. 2161/5;79601;Kaöparov·;Jana;Mgr.;www.nej-lekarna.cz;janalangerova.vl@seznam.cz;607 165 907;;0;Z;;
LÈk·rna U sv.Ji¯Ì;55414000000;55995020;55414000;00673552;HornÌ Be¯kovice;Pod¯ipsk· 1;41185;ävihlÌkov·;Milada;Mgr. ;http//:www.pnhberkovice.cz;lekarna@pnhberkovice;416 808 242, 416 808 246;;1;NZ;;
LÈk·rna U äkoly;00203145926;93995680;93995085;10869565;Hanuöovice;HlavnÌ 143;78833;Koupilov·;Hana;Mgr.;www.levnylek.cz;koupil@levnylek.cz;583 231 223;;0;Z/OOVL;ANO;
LÈk·rna U äkoly;00200089271;73995119;73728000;08118086;⁄jezd u Brna;äkolnÌ 384;66453;Kyselkov·;Michaela;Mgr.;http://www.lekarnaujezd.cz/;lekarna.ujezd@seznam.cz;544 224 261;;1;Z/OOVL;;
LÈk·rna U Termin·lu;67027000000;67995300;67027000;64254305;Turnov;U N·draûÌ 1295;51101;äreiberov·;Zuzana;Mgr.;http://www.lekarnaturnov.cz;lekarnauterminalu@lekarenskyholding.cz;484 803 024;;1;Z;;
LÈk·rna U T¯Ì lv˘;32995011000;32995750;32995011;26070952;»eskÈ BudÏjovice;U T¯Ì lv˘ 294/4;37001;BudÌn;Vratislav;PharmDr.;;lekroznov@volny.cz;386 321 184;386 321 184;1;Z;;
LÈk·rna U T¯Ì sloup˘;84809000000;84995230;84809000;45494339;Velk· BÌteö;Masarykovo n·mÏstÌ 6;59501;Richterov·;KvÏtoslava;aff.;http://www.lekarnabites.cz;kveta_richter@volny.cz;566 531 416;;1;Z;;
LÈk·rna U VÌtka;91995430000;91995520;91995430;26872935;Ostrava;T¯ebovick· 5114/106;72200;Sommer;VÌt;PharmDr.;;vit.sommer@tiscali.cz;596 960 427;596 960 427;1;Z;;
LÈk·rna U VojenskÈ nemocnice;00214992856;72995346;72995390;21536538;Brno;Z·brdovick· 156/20;61500;StehlÌkov·;Vlasta;PharmDr.;;info@lekarnauvojenskenemocnice.cz;545 211 517;;0;Z;;
LÈk·rna U V˝staviötÏ -  LÈk·rna Benu;92640000000;92995430;92640000;29381223;P¯erov;U V˝staviötÏ 182/8;75002;Sm˝kalov·;Kate¯ina;Mgr.;;prerov.uvystaviste@benu.cz;720050067;;1;Z;;
LÈk·rna U z·mku;79027000001;79995480;79027000;02985560;JaromÏ¯ice nad Rokytnou;n·m. MÌru 22;67551;Novotn·;Olga;Mgr.;;lekarnajaromerice@email.cz;702 143 175;;0;Z/OOVL;;
LÈk·rna U Z·mku;81713000000;81995280;81713000;27664180;BuËovice;Z·meck· 550;68501;Markov·;Pavla;Mgr.;https://lekarnauzamkubucovice.cz/;lekarnauzamku@tiscali.cz;517 333 262 (ZV), 517 380 263;;1;Z/OOVL;ANO;
LÈk·rna U Z·mku;55473000002;55995300;55473000;47540443;Roudnice nad Labem;Karlovo n·mÏstÌ 8;41301;Gabrielov·;DrahomÌra;RNDr.;http://www.lekarnakvalitne.cz;gdraha@active.cz;416 878 550;;0;Z;;
LÈk·rna U Z·mku;66300000000;66995330;66300000;73610127;OpoËno;KomenskÈho 126;51773;Moravcov·;VÏra;Mgr.;;lekarna.uzamku@tiscali.cz;494 668 208;;1;Z;;
LÈk·rna U Z·mku;73649000000;73995460;73649000;26241927;éidlochovice;N·draûnÌ 3;66701;Kekelyov·;Tatiana;PharmDr.;;lekarnauzamku@poliklinika-zidlochovice.cz;544 212 111;;1;Z;;
LÈk·rna U Z·mku;92652000001;92995560;92652000;04553713;TovaËov;N·mÏstÌ 10;75101;Romanov·;Monika;Mgr.;http://www.lekarna-uzamku.cz;info@lekarna-uzamku.cz;581 731 728, 605205848;;1;Z;;
LÈk·rna U ZlatÈ ËÌöe;63336000002;63995520;63336000;28570481;Nov· Paka;KomenskÈho 490;50901;Adamov·;Bronislava;Mgr.;;novapaka@mojelekarna.cz;493 721 020;;1;Z/OOVL;;
L…K¡RNA U ZLAT… HUSY;72995052001;72995142;72995052;60750693;Brno;BoûetÏchova 2737/79;61200;Muchov·;Kate¯ina;Mgr.;;zhusabrno@gmail.com;545 215 622;;1;Z;;
LÈk·rna U ZlatÈ koruny;52517000002;52995510;52517000;28570481;Jirkov;»ervenohr·deck· 1559;43111;Gargoö;Martin;PharmDr.;;martin.gargos@seznam.cz;474 654 195;;0;Z;;
LÈk·rna U ZlatÈ koruny;39375000000;39995410;39375000;06386148;SobÏslav;n·mÏstÌ Republiky 141/18;39201;Svatkov·;Milena;PharmDr.;;leksob@seznam.cz;381 521 155;;0;Z;;
LÈk·rna U ZlatÈ koruny;70607000002;70995500;70607000;28854772;éamberk;N·mÏstÌ Gen. Knopa 1061;56401;Thun;Radim;PharmDr.;https://www.kapkazdravi.cz;lekarna.koruna@zamberk.cz, eshop@kapkazdravi.cz;465 614 366;;1;L;ANO;
LÈk·rna U ZlatÈ rybky;32995045000;32995940;32995045;02748126;»eskÈ BudÏjovice;t¯. »sl. legiÌ 2118/6;37006;»ern·;PavlÌna;Mgr.;;lekarnazlatarybka@email.cz;734 177 877;;1;Z;;
LÈk·rna U ZlatÈ rybky;00215045400;90995482;90481000;04919912;Kobe¯ice;HluËÌnsk· 203/2;74727;Janoöov·;Pavla;Mgr.;;lekarnauzlaterybky@volny.cz;553 657 023;;0;Z/OOVL;;
LÈk·rna U ZlatÈho draka;00201636580;22995650;22995070;09628410;Kladno;Unhoöùsk· 2533;27201;Richterov·;Lenka ;Mgr.;;lÈk·rna@poliklinikakladno.cz;777 363 688;;0;Z;;
LÈk·rna U zlatÈho hada;24606000000;24995050;24606000;48670324;Kutn· Hora;Masarykova 596;28401;äimonov·;Jitka;PharmDr.;;uzlatehohada.lek@seznam.cz;327 514 519;;1;Z;;
LÈk·rna U zlatÈho hada;62648000000;62995130;62648000;87742985;Ronov nad Doubravou;Lichnick· 108;53842;Kriötofov·;Jana;PharmDr.;;lekarna.ronov@seznam.cz;469 690 114;;1;Z;;
LÈk·rna U ZlatÈho hada;55990300000;55995270;55990300;25030973;Lovosice;äkolnÌ 399/12;41002;Knotek, Ph.D.;Karel;RNDr.;;lekarna.uzlatehohada@seznam.cz;416 532 710;;1;Z;;
LÈk·rna U ZlatÈho hada;00200190827;60995690;60995033;07836732;LedeË nad S·zavou;Husovo n·mÏstÌ 56;58401;Baranov·;Marie;Mgr.;;lekarnauzlatehohada@atlas.cz;569 720 890;;1;Z;;
LÈk·rna U ZlatÈho hada;00201860180;64995620;64608000;27530981;»esk· Skalice;Husovo n·mÏstÌ 2;55203;Mejst¯Ìkov·;Ivana  ;Mgr.;http://www.khl.cz;uzlatehohada@khl.cz;491 452 930;;1;Z;;
LÈk·rna U ZlatÈho hada Cvikov s.r.o.;00201069483;50995480;50921000;09381465;Cvikov;KomenskÈho 219;47154;Skopov˝;ätÏp·n;Mgr.;http://www.lekarna-cvikov.cz;lekarna.cvikov@gmail.com;487751167, 730778231;;0;L;;
LÈk·rna U ZlatÈho hada PharmDr. Jolana äirok· s.r.o.;92613000000;92995110;92613000;29457840;P¯erov;»echova 760/41;75002;äirok·;Jolana;PharmDr.;http://www.lekarnauzlatehohada.cz;zlaty.had@seznam.cz, lekarna@lekarnauzlatehohada.cz;581 209 475;;1;Z;;
"LÈk·rna ""U ZLAT…HO JELENA""";40995515000;40995030;40995515;25230816;Domaûlice;n·mÏstÌ MÌru 123;34401;RojÌkov·;Dana;Mgr. ;;lekarna@zlaty-jelen.cz;379 792 118;;1;Z;;
LÈk·rna U ZlatÈho k¯Ìûe;91995560000;88995040;91995560;49588818;Klimkovice;Lidick· 19;74283;Vachek;Josef;PharmDr.;http://www.zlaty-kriz.cz;556420127@iol.cz;556 420 127;;1;Z;;
LÈk·rna U zlatÈho lva;00202231394;44995970;44308500;61778508;PlzeÚ;»echova 2642/65;30100;ÿehulov·;Jana;RNDr.;;jrehulova@centrum.cz;377 423 113;;1;Z;;
LÈk·rna U zlatÈho lva;92616000001;92995070;92616000;01743511;KojetÌn;6. kvÏtna 1376;75201;G·l;AdÈla;PharmDr.;;kojetinlekarna@gmail.com;581 761 759;;1;Z;;
LÈk·rna U ZlatÈho lva;00201728924;92995640;92607000;28570481;Hranice;Masarykovo n·mÏstÌ 5;75301;VÈrostov·;Petra;PharmDr.;http://mojelekarna.cz;hranice@mojelekarna.cz;581601795;;0;Z;;
LÈk·rna U ZlatÈho lva;00201146604;31995230;31995229;48949388;RakovnÌk;Tyröova 737;26901;Hejdov·;ä·rka ;PharmDr.;;levrakovnik@seznam.cz;313 512 648;;1;Z;;
LÈk·rna U ZlatÈho lva Nov˝ Bor s.r.o.;50954000000;50995250;50954000;02020076;Nov˝ Bor;T¯. T. G. Masaryka 42;47301;RoubÌnkov·;Kate¯ina;PharmDr.;;kroubinkova@centrum.cz;487723087;;1;Z;;
LÈk·rna U ZlatÈho Slunce;00202734011;08995660;08995097;17325072;Praha;K¯iûÌkova 159/56;18600;Moravcov·;Ivona;PharmDr.;http://www.lekarnauzlatehoslunce.cz;lekarnauzlatehoslunce@seznam.cz;224814568;;0;Z;ANO;
LÈk·rna U ZvÏrokruhu;76044000003;76995550;76044000;05618568;Jihlava;Sokolovsk· 3089/126;58601;Gerhardov·;Kate¯ina;PharmDr.;;zverokruhji@seznam.cz;778 080 658;;1;Z/OOVL;;
LÈk·rna U Zvonice;70606000001;70995290;70606000;26003538;VysokÈ M˝to;KomenskÈho 92;56601;HejkrlÌkov·;Eva;Mgr.;http://www.lekarnavm.cz;uzvonice@lekarnavm.cz;465 483 138, 605 864 903;;1;Z;;
LÈk·rna ⁄HKT;00202876965;02995840;02995086;00023736;Praha;U nemocnice 2094/1;12800;Lis·;Martina;PharmDr.;;Martina.lisa@uhkt.cz;221 977 466;;0;Z;;
LÈk·rna ⁄PMD;04995093000;04995800;04995093;00023698;Praha;PodolskÈ n·b¯eûÌ 157/36;14700;Klus·kov·;Margita;PharmDr.;http://www.upmd.cz;lekarna@upmd.eu;296 511 151-3;;1;NO;;
LÈk·rna ⁄razovÈ nemocnice v BrnÏ;00212853315;72995328;72995374;00209813;Brno;KoliötÏ 141/47;60200;Majznerov·;Kate¯ina;PharmDr.;https://unbr.cz/pro-pacienty/lekarna/;lekarna@unbr.cz;545 538 155, 775 858 059;;0;NO;;
LÈk·rna Urban;70635000002;70995540;70635000;04691377;Lanökroun;Str·ûnÌ 42;56301;Bedn·¯ov·;Miroslava;Mgr.;www.lekarnaurban.cz;lekarna.urban@seznam.cz;465 320 340;;1;Z;;
LÈk·rna ⁄stavu leteckÈho zdravotnictvÌ;06995013004;06995250;06995013;61382981;Praha;Gener·la PÌky 229/1;16000;Palouö;Petr;Mgr.;;lekarna@ulz.cz;973 212 472;973 212 424;1;A;;
LÈk·rna V a M, spol.s r.o.;60995006000;60995050;60995006;47470402;HavlÌËk˘v Brod;N·draûnÌ 582;58001;MareËkov·;Miroslava;PharmDr.;;vam.lekarna@hbnet.cz;569 422 291;569 422 291;1;Z;;
LÈk·rna V Aleji;27631000000;27995190;27631000;01809938;PodÏbrady;JiûnÌ 1340;29001;HavlÌËkov·;Lenka;Mgr.;;lekarna@valeji.cz;325 625 324;;1;Z;;
LÈk·rna v AmbulantnÌm pavilonu;64640000000;64995360;64640000;27530981;N·chod;PurkyÚova 446;54701;Veverkov·;Kate¯ina;PharmDr.;http://www.khl.cz;AP@KHL.cz;491 601 592;;1;Z;;
LÈk·rna v Bezovce;44367000000;44995330;44367000;28034325;PlzeÚ;V Bezovce 1909/4;30100;K˘rkov· Fr˝bertov·;Renata;Mgr.;http://www.lekarnavbezovce.cz;lekbezovka@seznam.cz;377 423 462;;1;Z;ANO;
LÈk·rna V BÌlÈm domÏ;72995021000;72995420;72995021;49928660;Brno;éerotÌnovo n·mÏstÌ 533/6;60200;Leberov·;Denisa;PharmDr.;http://www.lekarnabilydum.cz/;JJstepanek@seznam.cz, bilydum@email.cz;533 302 271, 542 213 730;;1;Z;;
LÈk·rna V Centru;53344000000;53995310;53344000;27263011;Jablonec nad Nisou;KomenskÈho 4847/15;46601;FratriË;Peter;PharmDr.;;petr.fratric@gmail.com;483 710 491, 483 710 706;;1;Z;;
LÈk·rna v DlouhÈ;01995092000;01995710;01995092;04369637;Praha;Dlouh· 743/9;11000;Oganesian;Elmira;Mgr.;http://www.lekarnavdlouhe.cz;lekarna@lekarnavdlouhe.cz;725 720 044;;1;Z;;
LÈk·rna v DolnÌch PoËernicÌch;00200375153;09995760;09995095;08644969;Praha;»eskobrodsk· 79;19012;Trnkov·;Eva ;RNDr.;;lekarnavdolnichpocernicÌch@lekarnybezhranic;608 037 009;;0;Z;;
LÈk·rna V Hloubce;67341000000;67995190;67341000;64254305;Turnov;T·zlerova 251;51101;Johnov·;Lada;PharmDr.;http://www.lekarnaturnov.cz;lekarnavhloubce@lekarenskyholding.cz;481 311 116;;1;Z/OOVL;ANO;
LÈk·rna V Husovce;45624000001;45995340;45624000;26352320;P¯eötice;Husova 1262;33401;Fo¯tov·;JaromÌra;Mgr.;http://lekarna-prestice.cz;husovka@lekarna-prestice.cz;377 897 045;;0;Z;;
LÈk·rna v HusovicÌch;72995157000;72995450;72995157;27717631;Brno;Nov·Ëkova 967/17;61400;Jaöek;Michal;Mgr.;;lekarna.husovice@tiscali.cz;545 574 021;;1;Z;;
LÈk·rna v ItalskÈ;27639000000;27995510;27639000;24726346;Milovice;Italsk· 704;28924;Gillov·;Martina;PharmDr.;https://www.benu.cz/milovice-italska-1667307167;lekarnavitalske@centrum.cz;325 511 399;;1;Z;;
LÈk·rna v Ji¯ÌkovÏ;51614000000;51995150;51614000;28671384;Ji¯Ìkov;Svobodova 1015/18;40753;V·clavek;Lubor;Mgr.;;l.vaclavek@volny.cz;412 338 366;;1;Z;;
LÈk·rna V Lipk·ch;61535000000;61995510;61535000;25251791;Hradec Kr·lovÈ;St¯eleck· 880/53;50002;Pastuszkov·;Judita;Mgr.;;v_lipkach@volny.cz;601 591 002;;1;Z;;
LÈk·rna v LoöticÌch;93995011000;93995050;93995011;60801271;Loötice;n·m. MÌru 64/5;78983;BÏh·vka;»estmÌr;PharmDr.;http://www.lekarnalostice.cz;lekarna.lostice@tiscali.cz;583 445 270;;1;Z;;
LÈk·rna v nemocnici;00201189586;55995530;55475000;25488627;LitomÏ¯ice;éitenick· 2084;41201;Brad·Ëov·;Petra;PharmDr.;;lekarna.ltm@kzcr.eu, petra.bradacova@kzcr.eu;416 723 501;;0;NO;;
LÈk·rna v nemocnici Broumov;64641000001;64995430;64641000;27530981;Broumov;Smetanova 91;55001;M·lkov·;Jitka;PharmDr.;http://www.khl.cz;broumov@khl.cz;491 582 367;;1;Z;;
LÈk·rna v nemocnici Rychnov nad KnÏûnou;66360000000;66995350;66360000;27530981;Rychnov nad KnÏûnou;Jir·skova 506;51601;Lockerov·;Milada;Mgr.;http://www.khl.cz;rychnov@khl.cz;494 321 550, 494 502 570;;1;Z/OOVL;;
LÈk·rna v nemocnici Trutnov;69631000000;69995430;69631000;27530981;Trutnov;Maxima GorkÈho 77;54101;PolÌvka;V·clav;Mgr.;http://www.khl.cz;trutnov@khl.cz;499 397 115;;1;Z/OOVL;;
LÈk·rna V PodhradÌ;73656000000;73995950;73656000;67521096;NedvÏdice; 398;59262;Smutn·;Alena;Mgr.;;lekarnavpodhradi@seznam.cz;566 523 298;;0;Z/OOVL;;
LÈk·rna V PodolÌ;00203044042;04995560;04995170;06609147;Praha;Podolsk· 137/152;14700;Juppov·;Petra;PharmDr.;;jinalekarna@gmail.cz;739 523 829;;0;Z;;
LÈk·rna v RumunskÈ;00201976181;02995810;02995084;27404595;Praha;Rumunsk· 8/16;12000;;;;;investpharm1@volny.cz;222522942;;0;Z;;
L…K¡RNA VALDEK;21341000000;21995270;21341000;28260082;Ho¯ovice;PotoËnÌ 418/4;26801;Maxov·;Ivana;Mgr.;http://www.lekhoro.cz;horovice@lekhoro.cz;311 514 090;;1;Z;;
LÈk·rna Varnsdorf;00202991094;51995910;51478000;01838482;Varnsdorf;LegiÌ 1954;40747;Friese;Petr;Mgr.;;lekarna.varnsdorf@atlas.cz;412 372 398;;0;L;;
LÈk·rna ve Smilovce;65641000000;65995660;65641000;28828194;Pardubice;Smilova 405;53002;Beneöov·;Milena;PharmDr.;;lekarnavesmilovce@centrum.cz;463 034 049;;1;Z;;
LÈk·rna Ve st¯edisku;87355000000;87995010;87355000;63024667;Albrechtice;ObecnÌ 714;73543;Kalinov·;Eva;Mgr.;www.lekarna-albrechtice.cz;lekalbr@volny.cz;596 428 457;;1;Z;;
LÈk·rna Ve vÏûiËk·ch;91548000001;91995157;91548000;05620791;Ostrava;Porubsk· 552/24;70800;Girtler Broûov·;Kl·ra;Mgr.;www.lekarnavevezickach.cz;vevezickach@seznam.cz;596 933 271;;1;L;;
L…K¡RNA VE VOTICÕCH s.r.o.;20845000000;20995150;20845000;27096777;Votice;KomenskÈho n·m. 142;25901;Pil·tov·;Krist˝na;PharmDr.;www.lekarnavevoticich.cz;lekarna.votice@seznam.cz;317 812 217;;1;Z;;
LÈk·rna VeleöÌn;00214743090;;33319000;26095149;VeleöÌn;BudÏjovick· 148;38232;Petr·ö;Jan;Mgr.;www.nemck.cz;velesin@nemck.cz;770 110 356;;0;OOVL;;
LÈk·rna VeletrûnÌ;07995019000;07995010;07995019;27103986;Praha;MalÌ¯sk· 386/1;17000;B¯ichn·Ë;Bohuslav;Mgr.;http://www.lekarna-veletrzni.cz;lekarna.veletrzni@volny.cz;233 371 806;233 371 806;1;Z;;
LÈk·rna VelkÈ n·mÏstÌ;77633000000;77995270;77633000;75205114;KromÏ¯Ìû;VelkÈ n·mÏstÌ 106/49;76701;Mozgov·;Eva;Mgr.;;namesti@lekarnakm.cz;573 342 035;573 342 035;1;Z;;
LÈk·rna VelkÈ Popovice;28138000000;28995300;28138000;71505083;VelkÈ Popovice;Husova 198;25169;Novotn·;Hana;Mgr.;http://www.lekarna-popovice.cz;lekarna.vp@centrum.cz;323 665 220;;1;Z;;
LÈk·rna VELVARY;22995063000;22995590;22995063;28570481;Velvary;n·mÏstÌ Kr·le Vladislava 223;27324;Kobz·Úov·;Dana;PharmDr.;http://www.mojelekarna.cz;velvary@mojelekarna.cz;703 474 448;;1;Z;;
LÈk·rna Veronica;64647000000;64995570;64647000;27530981;»erven˝ Kostelec;HavlÌËkova 655;54941;Tomkov·;VÏra  ;Mgr.;http://www.khl.cz;veronica@khl.cz;491 421 875;;1;Z;;
LÈk·rna Veronica;90962000000;90995130;90962000;28637933;Opava;Gudrichova 844/90;74706;NedÏlov·;Andrea;Mgr.;www.lekarnaveronica.cz;lekarna.veronica@email.cz;553 711 753;;1;Z;;
LÈk·rna VESALION;91995730000;91995119;91995730;29399211;Ostrava;BozdÏchova 619/6;70200;Kotalov·;Petra;PharmDr. ;http://www.lekarnavesalion.cz;lekarnavesalion@email.cz;596 639 937;;1;Z;;
LÈk·rna Veverka;87383200000;87995134;87383200;25896440;Karvin·;Bratr. Veverkov˝ch 2874/1;73301;JendryöËÌk;Rudolf;RNDr.;;lekarna.veverka@seznam.cz;596 768 188;;1;Z;;
LÈk·rna VIA;51570000000;51995650;51570000;28711394;»esk· Kamenice;5. kvÏtna 484;40721;Hanich;Luk·ö;Mgr.;;lhanich@viamedical.cz, lekarna@viamedical.cz;412 582 929;;1;L;;
LÈk·rna Vinohrady;72995298000;72995226;72995298;02765390;Brno;Velkopavlovick· 4310/25;62800;Sypt·kov·;Darina;PharmDr.;http://www.leonardicz.com/lekarna-vinohrady/;brno.velkopavlovicka@benu.cz;603 267 037;;1;Z;;
LÈk·rna Viola;60995018000;60995110;60995018;26005930;SvÏtl· nad S·zavou;L·neck· 970;58291;VanÏËkov·;Miloslava;PharmDr.;;optima.viola@seznam.cz;569 452 362;569 452 362;1;Z;;
LÈk·rna Viola;86350000000;86995700;86350000;70597201;Fr˝dek-MÌstek;Star· cesta 83;73801;Fialov·;Andrea;Mgr.;;lekarnaviola@gmail.com;558 645 906;;1;Z;;
LÈk·rna Viola;26995009001;26995440;26995009;66068096;Ben·tky nad Jizerou;t¯. Osvoboz. polit. vÏzÚ˘ 241/18;29471;Hrub·;Hana;Mgr.;;lekarna.viola@seznam.cz;326 362 770;;1;Z;;
LÈk·rna Viola s.r.o.;66257000000;66995020;66257000;27465357;OpoËno;N·draûnÌ 288;51773;Vr·tn·;Sylva;PharmDr.;;lekarna.opocno@gmail.com;494 668 326;;1;L;;
LÈk·rna Violka;76168000000;76995480;76168000;03348962;Batelov;DruûstevnÌ 449/10;58851;Cepkov·;Eva;Mgr.;http://www.lekarna-batelov.webnode.cz;lekarnaviolka@seznam.cz;567 211 784;;1;Z;;
LÈk·rna Violka;62651000000;62995500;62651000;28850246;Luûe;Za Pilou 205;53854;Sedliakov·;VÏra;PharmDr.;;lekarna.luze@seznam.cz;730 806 402;;1;L/OOVL;ANO;
LÈk·rna Vita;00212750674;72995326;72995372;19668384;Brno;PodpÏrova 518/6;62100;Majoröinov·;Jitka;Mgr.;https://www.lekarnavita.cz/;lekarnavita@seznam.cz;549 213 876;;0;Z;;
LÈk·rna Vitalis;34632000001;34995530;34632000;03902161;»eskÈ Velenice;Riegrova 663;37810;Kunzov·;Lenka;PharmDr.;http://www.lekarnavitalis.cz;lekarnavitalis@email.cz;384 794 262;;1;Z;;
LÈk·rna Vitalpoint;00214943515;29995604;29995075;25663585;TuchomÏ¯ice;Podnikatelsk· 601;25267;Chudoba;LubomÌr;PharmDr.;;chudoba@chudo.cz;724130383;;1;Z;ANO;
L…K¡RNA VITAPHARMA;07995031000;07995200;07995031;28960149;Praha;Tusarova 1152/36;17000;KubÌËkov·;Petra;PharmDr.;https://www.vitapharma.cz/;vitapharma@vitapharma.cz;283 022 112;;1;Z;;
LÈk·rna Vitax Praha;00200099052;35995340;35629000;27408205;Pelh¯imov;Kou¯imskÈho 2502;39301;Bakeö;Josef;PharmDr.;;josef.bakes@vitaxpraha.cz;606 633 632;;0;Z;;
LÈk·rna Vltava;00201509536;32995112;32805000;10824383;»eskÈ BudÏjovice;Fr. Ond¯ÌËka 1088/2;37011;Foglarov·;Pavla;Mgr.;www.lekia.cz;vltava.cb@lekia.cz;383 134 371;;0;Z;;
LÈk·rna VltavÌnsk·;79036000000;79995170;79036000;26750457;T¯ebÌË;VltavÌnsk· 1289/10;67401;Hoblov·;Helena;PhMr.;http://www.lekarna-vltavinska.cz;hoblova@lekarna-vltavinska.cz, sobotkova@lekarna-vltavinska.cz;568 808 125 , 568 840 720;;1;Z;ANO;
LÈk·rna VodiËkova;00213223970;01995012;01995116;48590258;Praha;VodiËkova 1935/38;11000;»ernochov·;Edita;PharmDr.;;lekarna.vodickova38@gmail.com;773 288 024;;0;Z;;
LÈk·rna VojenskÈ nemocnice;89258000000;89995500;89258000;60800691;Olomouc;Suöilovo n·m. 1/5;77900;Krebsov·;Jitka ;Mgr.;http://www.vnol.cz/lekarna;krebsovaj@vnol.cz;973 407 054;973 407 471;1;A;;
LÈk·rna VOLARY;37332000000;37995300;37332000;26040719;Volary;N·mÏstÌ 138;38451;Kejzlar;Roman;PharmDr. ;;lekbavorov@volny.cz;602 447 364;;1;Z/OOVL;;
LÈk·rna Volksversand;54346000000;54995510;54346000;27605060;Liberec;Tanvaldsk· 345;46311;TÌûkov·;MarkÈta;Mgr.;http://www.volksversand.de;intex@lekarna-volksversand.cz;482 317 153;;1;Z;ANO;
LÈk·rna VolynÏ;00215355083;38995330;38365000;23331721;VolynÏ;n·mÏstÌ Svobody 36;38701;J˘zkov·;Aneûka;Mgr.;;anezka.juzkova@gmail.com;606 253 234;;0;Z;;
LÈk·rna Vracov;75678000000;75995950;75678000;63482860;Vracov;n·mÏstÌ MÌru 1803;69642;Vlaöicov·;Dana;Mgr.;;lekarna.vracov@seznam.cz;530 335 379;;0;Z;;
LÈk·rna VranÈ;00201443570;29995870;29995069;28538854;VranÈ nad Vltavou;Obloukov· 610;25246;Medveck·;Gabriela;PharmDr.;https://lekarnavrane.business.site/;farmakon@email.cz, lekarnavrane@seznam.cz;244461857;;0;Z;;
LÈk·rna Vr·nova;72995131000;72995400;72995131;26918978;Brno;Vr·nova 1500/172;62100;Baranov·;Andrea;Mgr.;https://www.lekarnavranova.cz/;vranova.lek@centrum.cz;549 275 445;;1;Z;;
LÈk·rna Vranovice;73652000000;73995480;73652000;28314972;Vranovice;N·mÏstÌËko 53;69125;Rapcov·;Iva;Mgr.;;lekarna.vranovice@seznam.cz;519 322 751;;1;Z;;
LÈk·rna Vratimov;00215583553;91995207;91995720;29147042;Vratimov;⁄zk· 820/9;73932;Janoökov· Haftov·;Barbora;PharmDr.;www.mojelekarna.cz;vratimov@mojelekarna.cz;596 732 105;;0;Z;;
LÈk·rna Vrdy;24611000000;24995110;24611000;49543202;Vrdy;Chrudimsk· 134;28571;N·dvornÌkov·;Jana;PharmDr.;;nadvornikova.ja@seznam.cz;327 397 283;;1;Z;;
LÈk·rna Vröovice;00200682335;10995130;10995095;28415698;Praha;Kub·nskÈ n·mÏstÌ 1327/15;10000;Brabencov·;Marie;PharmDr.;http://www.lekarnavrsovice.cz;info@lekarnavrsovice.cz, lekarna@lekarnavrsovice.cz;223 000 896;;0;Z;ANO;
LÈk·rna Za Ml˝nem, s.r.o.;80468000000;80995110;80468000;29359091;StarÈ MÏsto;Za Ml˝nem 1857;68603;Po¯Ìzkov·;Iva;Mgr.;http://www.lekarna-eu.cz;lekarnazamlynem@seznam.cz;572 541 052;;1;Z;;
LÈk·rna Za sklenÏnou vÏûÌ;64630000001;61995500;64630000;73606553;Hradec Kr·lovÈ;Wonkova 1225/3;50002;P·ralov·;Lucie;Mgr.;http://www.pro-leky.cz;Lekarna.zasklenenouvezi@seznam.cz;495 217 301;;1;L;ANO;
LÈk·rna ZahradnÌ;32097000000;32995670;32097000;26066203;»eskÈ BudÏjovice;ZahradnÌ 1504/44;37005;Vandov·;Romana;Mgr.;;lekarna-zahradni@cbox.cz;385 310 144, 702 071 020;385 310 144;1;Z;;
L…K¡RNA ZAMZAM;05995064000;05995420;05995064;27211223;Praha;Tilleho n·mÏstÌ 793/1;15200;Povoln·;Marcela;Mgr.;http://lekarny.zdravcentra.cz/zamzam/home.xsl;zamzam@email.cz;251 817 928;251 817 928;1;Z/OOVL;;
LÈk·rna Zamzam Jesenice;00200376116;29995830;29995067;27211223;Jesenice;Cedrov· 1462;25242;;;;;lekarna.jesenice@gmail.com;725 738 333;;0;Z/OOVL;;
LÈk·rna Z·rubova;04995131000;04995170;04995131;27861911;Praha;Z·rubova 498/31;14200;Fr˝bov·;Silvia;Mgr.;https://www.pharmapoint.cz/lekarny/lekarna-zarubova/;lekarnazarubova@centrum.cz;241 712 465;;1;Z;;
